,TEAM,POS,PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
0,bos, PG,Isaiah Thomas,50,47,32.3,21.5,0.5,2.4,3.0,6.6,1.14,0.06,2.8,2.0,2.4,21.5
1,bos, PG,Avery Bradley,45,41,32.6,14.8,0.6,2.0,2.6,2.1,1.62,0.27,1.5,2.1,1.4,13.1
2,bos, SF,Jae Crowder,50,50,32.1,14.3,1.0,4.1,5.0,1.8,1.76,0.54,1.3,2.5,1.5,16.2
3,bos, C,Kelly Olynyk,49,8,20.9,10.4,1.1,3.3,4.4,1.7,0.84,0.63,1.2,2.5,1.4,17.1
4,bos, PG,Marcus Smart,29,8,27.3,9.6,1.3,2.9,4.2,3.0,1.79,0.34,1.2,2.9,2.6,12.9
5,bos, SG,Evan Turner,50,4,26.9,9.6,0.6,3.9,4.5,4.1,0.96,0.28,2.1,1.6,1.9,12.6
6,bos, C,Jared Sullinger,49,41,23.4,9.5,2.4,6.1,8.6,2.1,0.90,0.65,1.3,2.7,1.6,15.7
7,bos, PF,Amir Johnson,47,44,23.7,7.8,2.3,4.2,6.5,1.7,0.68,1.13,1.1,2.8,1.5,16.5
8,bos, PF,David Lee,30,4,15.7,7.1,1.4,3.0,4.3,1.8,0.40,0.43,1.3,1.7,1.4,15.8
9,bos, C,Tyler Zeller,32,3,9.4,4.8,1.0,1.5,2.5,0.3,0.22,0.13,0.8,1.5,0.4,13.1
10,bos, PF,Jonas Jerebko,49,0,13.7,3.8,0.9,2.3,3.2,0.8,0.27,0.14,0.6,1.7,1.4,9.6
11,bos, SG,R.J. Hunter,24,0,10.3,2.8,0.1,1.2,1.3,0.4,0.50,0.17,0.3,1.2,1.3,6.4
12,bos, PF,Jordan Mickey,3,0,2.0,2.3,0.7,0.3,1.0,0.3,0.00,0.33,0.0,0.3,0.0,68.0
13,bos, PG,Terry Rozier,18,0,5.9,1.6,0.4,0.6,1.1,0.6,0.00,0.00,0.4,0.6,1.4,-0.2
14,bkn, C,Brook Lopez,49,49,33.6,20.2,2.9,5.6,8.4,1.6,0.78,1.92,2.2,3.0,0.7,22.1
