,TEAM,POS,PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
0,bos, PG,Isaiah Thomas,6.9,16.4,.423,2.0,5.8,.347,5.6,6.2,0.89,4.9,10.6,.464,1.307,0.48
1,bos, PG,Avery Bradley,5.8,13.4,.434,2.0,5.6,.350,1.2,1.5,0.78,3.8,7.8,.494,1.103,0.51
2,bos, SF,Jae Crowder,5.0,11.0,.451,1.7,4.9,.358,2.6,3.2,0.83,3.3,6.1,.524,1.300,0.53
3,bos, C,Kelly Olynyk,3.9,8.5,.463,1.3,3.1,.428,1.2,1.7,0.70,2.6,5.4,.483,1.218,0.54
4,bos, PG,Marcus Smart,3.2,9.1,.356,1.0,4.0,.256,2.1,2.9,0.73,2.2,5.1,.435,1.057,0.41
5,bos, SG,Evan Turner,3.9,8.7,.444,0.2,1.2,.148,1.6,1.9,0.84,3.7,7.5,.492,1.094,0.45
6,bos, C,Jared Sullinger,3.9,9.4,.415,0.4,1.5,.264,1.3,2.0,0.64,3.5,7.9,.442,1.006,0.44
7,bos, PF,Amir Johnson,3.4,5.8,.583,0.2,0.7,.265,0.9,1.6,0.55,3.2,5.1,.629,1.354,0.60
8,bos, PF,David Lee,2.9,6.4,.453,0.0,0.0,.000,1.3,1.7,0.78,2.9,6.4,.455,1.115,0.45
9,bos, C,Tyler Zeller,2.0,4.2,.474,0.0,0.0,.000,0.8,1.2,0.68,2.0,4.2,.474,1.143,0.47
10,bos, PF,Jonas Jerebko,1.3,3.3,.400,0.5,1.2,.439,0.7,0.9,0.73,0.8,2.1,.379,1.156,0.48
11,bos, SG,R.J. Hunter,1.0,3.1,.338,0.5,2.0,.245,0.2,0.3,0.83,0.5,1.1,.520,.905,0.42
12,bos, PF,Jordan Mickey,0.7,1.0,.667,0.0,0.0,.000,1.0,1.0,1.00,0.7,1.0,.667,2.333,0.67
13,bos, PG,Terry Rozier,0.7,2.7,.245,0.1,0.7,.167,0.2,0.2,1.00,0.6,2.0,.270,.592,0.27
14,bkn, C,Brook Lopez,8.0,16.1,.501,0.0,0.1,.000,4.1,5.3,0.78,8.0,16.0,.504,1.258,0.50
15,bkn, PF,Thaddeus Young,6.7,13.2,.508,0.1,0.5,.217,1.4,2.3,0.61,6.6,12.7,.518,1.130,0.51
16,bkn, PG,Jarrett Jack,4.4,11.2,.391,1.0,3.2,.304,3.1,3.5,0.89,3.4,8.0,.426,1.148,0.43
17,bkn, SF,Joe Johnson,4.2,10.8,.390,1.4,4.1,.352,1.4,1.7,0.84,2.8,6.7,.413,1.045,0.46
18,bkn, SG,Bojan Bogdanovic,3.4,8.2,.417,1.3,3.8,.342,1.0,1.2,0.81,2.1,4.4,.479,1.109,0.50
19,bkn, C,Andrea Bargnani,2.9,6.2,.461,0.1,0.4,.188,1.1,1.3,0.82,2.8,5.8,.478,1.109,0.47
20,bkn, PG,Shane Larkin,2.7,6.1,.447,0.5,1.5,.358,0.8,1.0,0.81,2.2,4.6,.476,1.120,0.49
