,TEAM,NAME,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,FUML,YAC,1DN
0,dal,Terrance Williams,52,94,840,16.2,3,42,13,52.5,0,0,210,36
1,dal,Jason Witten,77,104,713,9.3,3,35,4,44.6,1,1,220,36
2,dal,Cole Beasley,52,74,536,10.3,5,30,7,33.5,1,1,302,31
3,dal,Dez Bryant,31,74,401,12.9,3,51,3,44.6,0,0,135,18
4,dal,Darren McFadden,40,54,328,8.2,0,21,1,20.5,0,0,276,12
5,dal,Brice Butler,12,26,258,21.5,0,67,6,36.9,0,0,82,10
6,dal,Lance Dunbar,21,23,215,10.2,0,39,3,53.8,0,0,150,9
7,dal,Devin Street,7,13,114,16.3,1,25,1,7.6,1,1,11,6
8,dal,Joseph Randle,10,10,86,8.6,0,25,1,14.3,0,0,81,6
9,dal,James Hanna,9,14,79,8.8,0,17,0,5.6,0,0,50,4
10,dal,Gavin Escobar,8,13,64,8.0,1,22,1,4.6,1,1,34,5
11,dal,Lucky Whitehead,6,8,16,2.7,0,8,0,1.1,0,0,18,1
12,dal,Robert Turbin,5,7,15,3.0,0,15,0,2.1,0,0,13,0
13,dal,Rod Smith,1,2,6,6.0,0,6,0,0.6,0,0,5,1
14,dal,Tyler Clutts,1,1,4,4.0,0,4,0,0.3,0,0,5,0
15,dal,Christine Michael,1,2,2,2.0,0,2,0,0.4,0,0,1,0
16,dal,Geoff Swaim,1,1,0,0.0,0,0,0,0.0,0,0,0,0
17,nyg,Odell Beckham Jr.,96,159,1450,15.1,13,87,19,96.7,2,0,516,67
18,nyg,Rueben Randle,57,90,797,14.0,8,72,13,49.8,0,0,194,35
19,nyg,Shane Vereen,59,81,495,8.4,4,37,3,30.9,0,0,376,23
20,nyg,Will Tye,42,62,464,11.0,3,45,5,35.7,1,1,177,23
21,nyg,Dwayne Harris,36,57,396,11.0,4,38,5,26.4,0,0,137,19
22,nyg,Rashad Jennings,29,40,296,10.2,1,51,3,18.5,1,1,308,8
23,nyg,Larry Donnell,29,41,223,7.7,2,22,2,27.9,0,0,89,13
24,nyg,Myles White,7,20,88,12.6,1,28,2,7.3,0,0,10,4
25,nyg,Daniel Fells,6,7,60,10.0,0,23,1,30.0,0,0,34,4
26,nyg,Jerome Cunningham,8,16,59,7.4,0,16,0,6.6,0,0,31,4
27,nyg,Hakeem Nicks,7,14,54,7.7,0,19,0,9.0,0,0,5,2
28,nyg,Preston Parker,5,12,43,8.6,0,15,0,21.5,0,0,30,1
29,nyg,Orleans Darkwa,3,5,31,10.3,0,15,0,1.9,0,0,29,2
30,nyg,Matt LaCosse,3,3,22,7.3,0,10,0,11.0,0,0,7,2
31,nyg,Geremy Davis,2,3,21,10.5,0,16,0,2.1,0,0,7,1
32,nyg,Ben Edwards,1,2,9,9.0,0,9,0,4.5,0,0,7,0
33,nyg,Andre Williams,1,3,7,7.0,0,7,0,0.4,0,0,3,0
34,nyg,Ereck Flowers,1,1,-11,-11.0,0,-11,0,-0.7,0,0,-3,0
35,phi,Jordan Matthews,85,127,997,11.7,8,78,14,62.3,2,1,421,44
36,phi,Zach Ertz,75,112,853,11.4,2,60,11,56.9,1,1,261,39
37,phi,Brent Celek,27,35,398,14.7,3,60,6,24.9,1,0,162,21
38,phi,Darren Sproles,55,84,388,7.1,1,35,2,24.3,1,0,352,19
39,phi,Riley Cooper,21,41,327,15.6,2,62,4,20.4,0,0,65,15
40,phi,DeMarco Murray,44,55,322,7.3,1,44,3,21.5,0,0,402,12
41,phi,Josh Huff,27,40,312,11.6,3,41,3,20.8,0,0,185,16
42,phi,Nelson Agholor,23,44,283,12.3,1,53,3,21.8,1,1,68,11
43,phi,Miles Austin,13,31,224,17.2,1,39,4,20.4,0,0,66,9
44,phi,Ryan Mathews,20,28,146,7.3,1,23,2,11.2,0,0,151,5
45,phi,Trey Burton,3,4,54,18.0,0,43,1,3.4,0,0,31,1
46,phi,Kenjon Barner,9,12,22,2.4,0,12,0,2.2,0,0,14,1
47,phi,Jonathan Krause,2,4,11,5.5,0,7,0,5.5,0,0,5,0
48,phi,Seyi Ajirotutu,1,3,4,4.0,0,4,0,0.3,0,0,0,0
49,wsh,Jordan Reed,87,114,952,10.9,11,32,14,68.0,3,2,462,54
50,wsh,Pierre Garcon,72,110,777,10.8,6,39,7,48.6,0,0,163,43
51,wsh,Jamison Crowder,59,79,604,10.2,2,44,7,37.8,2,0,251,34
52,wsh,DeSean Jackson,30,49,528,17.6,4,77,10,52.8,0,0,155,15
53,wsh,Matt Jones,19,25,304,16.0,1,78,4,23.4,1,0,263,10
54,wsh,Ryan Grant,23,42,268,11.7,2,35,3,16.8,0,0,90,18
55,wsh,Chris Thompson,35,47,240,6.9,2,23,1,18.5,1,0,178,14
56,wsh,Rashad Ross,8,13,184,23.0,1,71,3,14.2,0,0,27,5
57,wsh,Derek Carrier,17,22,141,8.3,1,20,2,11.8,0,0,81,4
58,wsh,Andre Roberts,11,21,135,12.3,0,38,1,15.0,0,0,40,5
59,wsh,Pierre Thomas,9,11,84,9.3,0,15,0,21.0,0,0,64,4
60,wsh,Alfred Morris,10,13,55,5.5,0,12,0,3.4,0,0,38,2
61,wsh,Darrel Young,6,6,22,3.7,0,8,0,1.4,0,0,16,0
62,buf,Sammy Watkins,60,95,1047,17.5,9,63,18,80.5,0,0,125,41
63,buf,Robert Woods,47,81,552,11.7,3,37,5,39.4,2,1,148,27
64,buf,Charles Clay,51,77,528,10.4,3,40,9,40.6,1,0,236,26
65,buf,Chris Hogan,36,59,450,12.5,2,46,6,28.1,0,0,104,18
66,buf,LeSean McCoy,32,50,292,9.1,2,22,3,24.3,1,1,290,12
67,buf,Percy Harvin,19,30,218,11.5,1,51,3,43.6,1,0,91,10
68,buf,Chris Gragg,12,20,150,12.5,0,29,1,11.5,0,0,52,8
69,buf,Karlos Williams,11,14,96,8.7,2,26,3,8.7,1,1,41,3
70,buf,Marcus Easley,1,3,58,58.0,1,58,1,4.5,0,0,16,1
71,buf,Boobie Dixon,6,7,44,7.3,0,14,0,2.8,0,0,29,1
72,buf,Greg Salas,3,5,41,13.7,0,20,1,20.5,0,0,0,3
73,buf,Nick O'Leary,1,3,37,37.0,0,37,1,9.3,0,0,37,1
74,buf,Mike Gillislee,6,7,29,4.8,0,14,0,5.8,0,0,35,2
75,buf,Marquise Goodwin,2,2,24,12.0,0,14,0,12.0,0,0,-1,2
76,buf,Daniel Herron,3,3,20,6.7,0,9,0,5.0,0,0,11,0
77,buf,Jerome Felton,1,2,12,12.0,0,12,0,0.8,0,0,8,0
78,buf,Tyrod Taylor,1,1,4,4.0,0,4,0,0.3,0,0,1,0
79,buf,Matthew Mulligan,1,1,2,2.0,0,2,0,0.2,0,0,2,0
80,buf,MarQueis Gray,1,1,2,2.0,0,2,0,0.5,0,0,5,0
81,buf,Cierre Wood,1,1,-6,-6.0,0,-6,0,-3.0,0,0,0,0
82,mia,Jarvis Landry,110,165,1157,10.5,4,50,10,72.3,0,0,547,60
83,mia,Rishard Matthews,43,61,662,15.4,4,53,10,60.2,0,0,244,31
84,mia,DeVante Parker,26,51,494,19.0,3,49,9,35.3,0,0,98,20
85,mia,Kenny Stills,27,63,440,16.3,3,47,10,27.5,0,0,105,18
86,mia,Lamar Miller,47,57,397,8.4,2,54,6,24.8,0,0,433,14
87,mia,Jordan Cameron,35,70,386,11.0,3,29,4,24.1,1,0,90,21
88,mia,Greg Jennings,19,36,208,10.9,1,31,3,13.0,0,0,39,7
89,mia,Damien Williams,21,27,142,6.8,1,23,2,8.9,0,0,82,6
90,mia,Dion Sims,18,25,127,7.1,1,22,1,9.8,1,1,73,7
91,mia,Jay Ajayi,7,11,90,12.9,0,20,1,10.0,0,0,84,5
92,mia,Jonas Gray,6,7,72,12.0,0,25,1,12.0,0,0,60,2
93,mia,Jake Stoneburner,5,5,47,9.4,2,13,0,4.3,0,0,14,3
94,mia,Ryan Tannehill,1,1,9,9.0,0,9,0,0.6,0,0,9,0
95,ne,Rob Gronkowski,72,120,1176,16.3,11,76,22,78.4,0,0,565,52
96,ne,Julian Edelman,61,88,692,11.3,7,59,8,76.9,1,1,327,37
97,ne,Danny Amendola,65,87,648,10.0,3,41,5,46.3,0,0,280,32
98,ne,Brandon LaFell,37,74,515,13.9,0,54,7,46.8,0,0,232,22
99,ne,James White,40,54,410,10.3,4,68,6,29.3,0,0,297,19
100,ne,Dion Lewis,36,50,388,10.8,2,40,1,55.4,2,1,338,16
101,ne,Keshawn Martin,24,37,269,11.2,2,39,2,29.9,0,0,79,14
102,ne,Scott Chandler,23,42,259,11.3,4,30,4,17.3,0,0,77,14
103,ne,Brandon Bolden,19,30,180,9.5,2,63,1,12.0,0,0,132,8
104,ne,Aaron Dobson,13,21,141,10.8,0,24,1,17.6,0,0,38,9
105,ne,LeGarrette Blount,6,7,43,7.2,1,14,0,3.6,0,0,32,3
106,ne,Tom Brady,1,1,36,36.0,0,36,1,2.3,0,0,30,1
107,ne,Michael Williams,3,6,26,8.7,0,15,0,1.7,0,0,13,1
108,ne,Steven Jackson,1,1,20,20.0,0,20,1,10.0,0,0,0,1
109,ne,Chris Harper,1,3,6,6.0,0,6,0,1.2,0,0,0,0
