id,Home Team,Home Team Score,Visit Team,Visit Team Score
400791590,Dallas Cowboys,27,New York,26
400791705,Philadelphia,10,Dallas Cowboys,20
400791491,Dallas Cowboys,28,Atlanta,39
400791720,New Orleans,26,Dallas Cowboys,20
400791559,Dallas Cowboys,6,New England,30
400791564,New York,27,Dallas Cowboys,20
400791681,Dallas Cowboys,12,Seattle,13
400791734,Dallas Cowboys,27,Philadelphia,33
400791494,Tampa Bay,10,Dallas Cowboys,6
400791703,Miami,14,Dallas Cowboys,24
400791509,Dallas Cowboys,14,Carolina,33
400791686,Washington,16,Dallas Cowboys,19
400791612,Green Bay,28,Dallas Cowboys,7
400791656,Dallas Cowboys,16,New York,19
400791535,Buffalo,16,Dallas Cowboys,6
400791651,Dallas Cowboys,23,Washington,34
400791786,San Diego,17,Dallas Cowboys,7
400791787,San Francisco,23,Dallas Cowboys,6
400791783,Dallas Cowboys,14,Minnesota,28
400791777,Dallas Cowboys,21,Houston,14
400791672,New York Giants,20,Atlanta,24
400791484,New York Giants,32,Washington,21
400791678,Buffalo,10,New York Giants,24
400791584,New York Giants,30,San Francisco,27
400791676,Philadelphia,27,New York Giants,7
400791618,New Orleans,52,New York Giants,49
400791731,Tampa Bay,18,New York Giants,32
400791591,New York Giants,26,New England,27
400791506,Washington,20,New York Giants,14
400791572,New York Giants,20,New York,23
400791641,Miami,24,New York Giants,31
400791693,New York Giants,35,Carolina,38
400791565,Minnesota,49,New York Giants,17
400791654,New York Giants,30,Philadelphia,35
400791144,Cincinnati,23,New York Giants,10
400791770,New York Giants,22,Jacksonville,12
400791785,New York Giants,18,New York,28
400791791,New England,9,New York Giants,12
400791596,Atlanta,26,Philadelphia Eagles,24
400791583,New York,17,Philadelphia Eagles,24
400791704,Washington,23,Philadelphia Eagles,20
400791542,Philadelphia Eagles,39,New Orleans,17
400791567,Carolina,27,Philadelphia Eagles,16
400791552,Philadelphia Eagles,19,Miami,20
400791668,Philadelphia Eagles,17,Tampa Bay,45
400791507,Detroit,45,Philadelphia Eagles,14
400791658,New England,28,Philadelphia Eagles,35
400791524,Philadelphia Eagles,23,Buffalo,20
400791692,Philadelphia Eagles,17,Arizona,40
400791508,Philadelphia Eagles,24,Washington,38
400791773,Philadelphia Eagles,36,Indianapolis,10
400791774,Philadelphia Eagles,40,Baltimore,17
400791768,Green Bay,26,Philadelphia Eagles,39
400791792,New York,24,Philadelphia Eagles,18
400820430,Washington Redskins,18,Green Bay,35
400791544,Washington Redskins,10,Miami,17
400791675,Washington Redskins,24,St. Louis,10
400791495,Atlanta,25,Washington Redskins,19
400791598,New York,34,Washington Redskins,20
400791511,Washington Redskins,31,Tampa Bay,30
400791721,New England,27,Washington Redskins,10
400791549,Washington Redskins,47,New Orleans,14
400791707,Carolina,44,Washington Redskins,16
400791580,Chicago,21,Washington Redskins,24
400791695,Washington Redskins,35,Buffalo,25
400791771,Cleveland,17,Washington Redskins,20
400791795,Washington Redskins,21,Detroit,17
400791780,Baltimore,13,Washington Redskins,31
400790314,Washington Redskins,16,Jacksonville,17
400791541,Buffalo Bills,27,Indianapolis,14
400791664,Buffalo Bills,32,New England,40
400791623,Miami,14,Buffalo Bills,41
400791551,Tennessee,13,Buffalo Bills,14
400791627,Buffalo Bills,21,Cincinnati,34
400761515,Jacksonville,34,Buffalo Bills,31
400791725,Buffalo Bills,33,Miami,17
400791486,New York,17,Buffalo Bills,22
400791717,New England,20,Buffalo Bills,13
400791504,Kansas City,30,Buffalo Bills,22
400791611,Buffalo Bills,30,Houston,21
400791603,Buffalo Bills,22,New York,17
400791738,Buffalo Bills,24,Carolina,25
400790304,Cleveland,10,Buffalo Bills,11
400791740,Buffalo Bills,43,Pittsburgh,19
400791761,Detroit,17,Buffalo Bills,10
400791680,Jacksonville,23,Miami Dolphins,20
400761514,Miami Dolphins,14,New York,27
400791639,Tennessee,10,Miami Dolphins,38
400791533,Miami Dolphins,44,Houston,26
400791601,New England,36,Miami Dolphins,7
400791522,New York,38,Miami Dolphins,20
400791615,Miami Dolphins,15,Baltimore,13
400791724,San Diego,30,Miami Dolphins,14
400791525,Miami Dolphins,12,Indianapolis,18
400791607,Miami Dolphins,20,New England,10
400791102,Chicago,27,Miami Dolphins,10
400791106,Carolina,31,Miami Dolphins,30
400791107,Miami Dolphins,13,Atlanta,9
400791108,Miami Dolphins,17,Tampa Bay,22
400820432,New England Patriots,27,Kansas City,20
400820436,Denver,20,New England Patriots,18
400791485,New England Patriots,28,Pittsburgh,21
400791553,New England Patriots,51,Jacksonville,17
400791674,Indianapolis,27,New England Patriots,34
400791536,New England Patriots,30,New York,23
400791537,Denver,30,New England Patriots,24
400791570,Houston,6,New England Patriots,27
400791694,New England Patriots,33,Tennessee,16
400791515,New York,26,New England Patriots,20
400791766,New England Patriots,11,Green Bay,22
400791790,New Orleans,24,New England Patriots,26
400791739,Carolina,16,New England Patriots,17
400791497,New York Jets,31,Cleveland,10
400791711,Indianapolis,7,New York Jets,20
400791657,Oakland,34,New York Jets,20
400791728,New York Jets,28,Jacksonville,23
400791665,Houston,24,New York Jets,17
400791562,New York Jets,30,Tennessee,8
400791794,Detroit,23,New York Jets,3
400791737,New York Jets,30,Atlanta,22
400820433,Arizona Cardinals,26,Green Bay,20
400820437,Carolina,49,Arizona Cardinals,15
400791555,Arizona Cardinals,31,New Orleans,19
400791661,Chicago,23,Arizona Cardinals,48
400791597,Arizona Cardinals,47,San Francisco,7
400791718,Arizona Cardinals,22,St. Louis,24
400791554,Detroit,17,Arizona Cardinals,42
