,TEAM,POS,PLAYER,GP,G,A,PTS,+/-,PIM,ATOI,PPG,PPA,SHG,SHA,SOG,SPCT
0,chi, RW,Patrick Kane,54,30,44,74,22,24,20:40,14,11,0,0,191,15.7
1,chi, LW,Artemi Panarin,54,18,29,47,7,18,18:44,2,10,0,0,124,14.5
2,chi, C ,Jonathan Toews,53,19,16,35,13,38,19:42,4,1,2,1,125,15.2
3,chi, D ,Duncan Keith,44,7,24,31,12,10,25:25,3,8,0,1,77,9.1
4,chi, D ,Brent Seabrook,54,7,24,31,7,22,23:12,3,11,0,0,109,6.4
5,chi, C ,Artem Anisimov,53,17,10,27,4,8,18:17,3,2,2,0,84,20.2
6,chi, RW,Marian Hossa,49,8,17,25,10,16,17:35,2,7,0,0,149,5.4
7,chi, C ,Andrew Shaw,54,9,16,25,10,41,14:39,2,3,0,0,100,9.0
8,chi, LW,Teuvo Teravainen,50,9,13,22,6,10,15:01,1,4,0,1,87,10.3
9,chi, D ,Niklas Hjalmarsson,54,2,12,14,8,24,22:23,0,1,0,0,60,3.3
10,chi, D ,Erik Gustafsson,21,0,8,8,9,0,16:19,0,0,0,0,26,0.0
11,chi, LW,Dennis Rasmussen,27,3,4,7,5,4,9:05,0,0,0,0,28,10.7
12,chi, C ,Andrew Desjardins,49,6,1,7,-8,22,13:18,0,0,0,0,68,8.8
13,chi, D ,Trevor Daley,29,0,6,6,1,8,14:46,0,2,0,0,43,0.0
14,chi, D ,Trevor van Riemsdyk,54,2,4,6,-6,17,19:50,0,1,0,0,54,3.7
15,chi, LW,Ryan Garbutt,43,2,4,6,-7,27,10:20,0,0,0,0,83,2.4
16,chi, LW,Phillip Danault,21,1,4,5,0,0,13:13,0,0,0,0,34,2.9
17,chi, RW,Richard Panik,9,3,1,4,1,0,9:43,0,0,0,0,11,27.3
18,chi, D ,Michal Rozsival,28,0,4,4,3,8,14:51,0,0,0,0,23,0.0
19,chi, C ,Tanner Kero,17,1,2,3,-2,2,12:18,0,0,0,0,26,3.8
20,chi, D ,Viktor Svedberg,16,1,2,3,0,2,17:00,0,0,0,0,26,3.8
21,chi, C ,Marko Dano,13,1,1,2,0,2,9:41,0,0,0,0,15,6.7
